id,duration,distance,build_up_duration,shot_technique_normal,shot_technique_lob,shot_technique_half_volley,shot_open_goal,pass_height_name,pass_cut_back,pass_through_ball,follows_goalkeeper,follows_dribble,pass_cross,goal,player_name,team_name,match_id,x_loc,y_loc,pass_player_name
8d21602b-4677-4f2e-9129-fec9c630298c,0.1387,15.670673246545597,47.23992500000001,1,0,0,0,1,0,1,0,0,0,0,Neymar da Silva Santos Junior,Barcelona,266066,111.4,26.9,Xavier Hernández Creus
b79f321c-ebed-490f-8f63-18236db0158a,0.7693,26.454678225221333,4.1668,1,0,0,0,0,0,0,0,0,0,0,Emiliano Daniel Armenteros,Osasuna,266074,99.9,22.8,Álvaro Cejudo Carmona
4d16993f-729c-4421-9509-4dc452b6895b,0.3983,15.692354826475215,3.7716019999999997,1,0,0,0,0,0,1,0,0,0,0,Aritz Aduriz Zubeldia,Athletic Bilbao,267567,112.0,53.5,Ander Herrera Agüera
56f7ae81-4ce8-4873-9510-4dafd40dec66,0.453501,14.436065946094867,60.79200000299998,1,0,0,0,0,0,0,0,0,0,1,Andrés Iniesta Luján,Barcelona,265857,109.4,30.2,Lionel Andrés Messi Cuccittini
ad493082-b88f-450e-a55d-f78bb8cb9a17,0.6608,7.4215901261117905,2.4951,1,0,0,0,1,0,0,0,0,1,0,Gerard Piqué Bernabéu,Barcelona,266420,112.8,38.2,Lionel Andrés Messi Cuccittini
80ee025a-7e7d-4b14-9d64-1259d744aaed,0.629482,15.508062419270825,3.9782569999999997,1,0,0,0,0,0,0,0,0,0,0,Francesc Fàbregas i Soler,Barcelona,267192,110.3,27.9,Pedro Eliezer Rodríguez Ledesma
e65cf748-ecfb-4819-8488-0b2a5d3bdb45,0.212,15.11820095117141,99.32411300300001,1,0,0,0,0,1,0,0,0,1,0,Neymar da Silva Santos Junior,Barcelona,266117,106.6,33.0,Lionel Andrés Messi Cuccittini
47fe619b-b3a7-4a1c-a55b-31662baea78f,0.4491,8.276472678623424,69.566104,0,0,0,0,1,0,0,0,0,0,0,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,267183,116.5,47.5,Karim Benzema
0daf1a69-70b8-46c0-bb68-9f278e37436b,0.791,24.63432564532668,14.019200000000001,1,0,0,0,2,0,0,0,0,0,0,Rodrigo Moreno Machado,Valencia,266560,104.2,21.1,Álvaro Negredo Sánchez
4c017041-06e4-4878-8618-438bf395c668,0.4873,13.57645019878171,41.03170003,0,0,0,0,2,1,0,0,0,1,0,Luis Alberto Suárez Díaz,Barcelona,266846,110.4,30.4,Jordi Alba Ramos
27440fa8-937e-4058-866c-ccfb5f212488,0.4523,13.713132391981055,30.0494,1,0,0,0,0,0,0,0,0,0,0,Joaquín Oscar Larrivey,Celta Vigo,266929,111.3,29.4,Manuel Agudo Durán
15fcee5d-b99c-4196-944a-f8a7051d916b,0.494277,9.479451460923256,35.286,1,0,0,0,0,0,0,0,0,0,1,Luis Alberto Suárez Díaz,Barcelona,9880,113.1,46.5,Philippe Coutinho Correia
6aa5fa91-8717-4fdc-8458-c086b9198de6,0.855943,25.690659781329085,7.077057,1,0,0,0,0,0,0,0,0,0,0,Andrés Iniesta Luján,Barcelona,9948,99.9,24.0,Jordi Alba Ramos
e757d6cf-1021-4360-9842-ad5f7432c901,0.736531,10.084641788382964,12.790007000000001,1,0,0,0,0,0,0,0,0,1,0,Luis Alberto Suárez Díaz,Barcelona,9742,110.7,36.1,Lionel Andrés Messi Cuccittini
e345002c-e035-4626-b977-6a1758bc53e0,0.627491,20.591260281974,40.88599999999999,1,0,0,0,0,0,0,0,0,0,0,Lionel Andrés Messi Cuccittini,Barcelona,9726,102.0,30.0,Jordi Alba Ramos
49d0d4eb-42d7-41a1-ba54-d3241f638c6d,0.678,22.496444163467256,24.302,1,0,0,0,0,0,0,0,0,0,0,Ousmane Dembélé,Barcelona,9928,100.0,50.3,Nélson Cabral Semedo
25179e55-a58a-4914-b5b8-12bc6ee11b88,0.984443,19.88064385275286,61.543034000000006,1,0,0,0,0,0,0,0,0,1,0,Daniel Parejo Muñoz,Valencia,16157,101.8,48.0,Daniel Wass
7d5bdf95-04ae-41f6-8699-043439bea714,0.285726,32.05510879719487,3.36067,1,0,0,0,0,0,0,0,0,0,0,Philippe Coutinho Correia,Barcelona,16248,92.7,23.2,Arthur Henrique Ramos de Oliveira Melo
78728f2e-3c15-49ba-97a2-c7f300dd6cb8,0.740899,14.571547618561317,46.474900999999996,1,0,0,0,0,0,0,0,0,0,1,Lionel Andrés Messi Cuccittini,Barcelona,15973,110.8,51.3,Ivan Rakitić
1187c90d-f112-4291-a586-5de2109970bc,1.209854,25.201785651020845,6.796240000000001,1,0,0,0,0,0,0,0,0,0,0,Lionel Andrés Messi Cuccittini,Barcelona,16095,94.8,39.7,Luis Alberto Suárez Díaz
8f99e671-bcba-4843-a246-5eb72c157f26,1.333143,19.708373854785687,8.848529000000001,1,0,0,0,1,0,0,0,0,0,0,Karl Brillant Toko Ekambi,Villarreal,16240,107.1,25.1,Santiago Cazorla González
c31bd6ac-23b0-48a7-99ac-3479bdd4a16a,0.6594,11.682465493208191,39.04876099999999,1,0,0,0,1,0,0,0,0,1,0,Martín Montoya Torralbo,Barcelona,267138,110.8,47.2,Adriano Correia Claro
db3c5ec8-1cdd-4458-81cd-e45f37ee7929,1.1748,11.493476410555683,34.571341999999994,0,0,1,0,2,0,0,0,0,1,0,Pedro Eliezer Rodríguez Ledesma,Barcelona,266074,109.7,45.1,Alexis Alejandro Sánchez Sánchez
