,duration,distance,shot_one_on_one,angle,shot_technique_3,shot_technique_6,shot_body_part_name,shot_technique_1,pass_height_name,shot_technique_5,shot_technique_4,shot_technique_2,pass_through_ball,distance_to_nearest_opponent_na,goal
130,0.9329999999999999,15.231546211727816,1,1.1659045405098132,0,0,0,0,-1,0,1,0,0,0,0
131,0.22699999999999998,1.4142135623730951,0,0.7853981633974483,0,1,0,0,-1,0,0,0,0,0,1
132,1.76,13.601470508735444,0,0.9420000403794636,0,1,0,0,-1,0,0,0,0,0,0
133,1.32,33.13608305156178,0,0.09065988720074512,0,0,0,0,-1,0,1,0,0,0,0
134,1.133,23.0,0,0.0,0,1,0,0,-1,0,0,0,0,0,0
135,1.133,23.08679276123039,0,0.3080527810237764,0,0,0,0,-1,0,1,0,0,0,0
136,1.933,46.01086828130936,0,0.021735706841792664,0,0,0,0,-1,0,1,0,0,0,0
137,1.173,12.806248474865697,0,0.8960553845713439,0,0,0,0,-1,0,0,1,0,0,0
138,0.653,22.803508501982762,0,0.6610431688506869,0,0,0,0,-1,0,1,0,0,0,0
139,1.227,10.04987562112089,0,0.09966865249116204,0,0,0,0,-1,0,1,0,0,0,0
140,0.653,12.806248474865697,0,0.6747409422235527,0,0,0,0,-1,0,1,0,0,0,0
141,1.64,17.464249196572982,0,1.3397056595989996,1,0,0,0,-1,0,0,0,0,0,1
142,1.733,18.384776310850235,0,1.1801892830972098,0,0,0,0,-1,0,0,1,0,0,0
143,2.28,40.04996878900158,0,0.04995839572194277,0,1,0,0,-1,0,0,0,0,0,0
144,1.5330000000000001,41.012193308819754,0,0.024385409172718538,0,0,0,0,-1,0,1,0,0,0,0
145,1.8130000000000002,26.40075756488817,0,0.4297622790966885,0,0,0,0,-1,0,0,1,0,0,0
146,0.493,10.198039027185569,0,1.373400766945016,0,0,0,0,-1,0,1,0,0,0,0
147,1.733,24.20743687382041,0,0.9025069079643124,0,1,0,0,-1,0,0,0,0,0,1
148,1.973,26.925824035672523,0,0.5467888408892474,0,0,0,0,-1,0,1,0,0,0,0
149,0.547,26.1725046566048,0,0.11487660541689915,0,0,0,0,-1,0,1,0,0,0,0
150,0.45299999999999996,27.313000567495326,0,0.414506874584786,0,0,0,0,-1,0,1,0,0,0,0
151,0.9329999999999999,31.89043743820395,0,0.7188299996216245,0,0,0,0,-1,0,1,0,0,0,0
152,0.76,15.652475842498527,0,0.4636476090008061,0,0,0,0,-1,0,1,0,0,0,0
153,1.093,15.620499351813306,0,0.6947382761967033,0,1,0,0,-1,0,0,0,0,0,1
154,1.227,23.021728866442675,0,0.9707461133931432,0,0,0,0,-1,0,1,0,0,0,0
155,1.3730000000000002,31.256999216175572,0,0.1283232276857948,0,0,0,0,-1,0,1,0,0,0,0
156,1.3730000000000002,18.027756377319946,0,0.3392926144540447,0,0,0,0,-1,0,1,0,0,0,0
157,2.173,35.84689665786984,0,0.4012287990048488,0,0,0,0,-1,0,1,0,0,0,0
158,1.2930000000000001,26.925824035672523,0,0.3805063771123649,0,0,0,0,-1,0,1,0,0,0,0
159,1.213,19.313207915827967,0,0.3708912888126624,0,0,0,0,-1,0,1,0,0,0,0
160,0.45299999999999996,27.29468812791236,0,0.4964227534048818,0,0,0,0,-1,0,1,0,0,0,0
161,0.4,22.62741699796952,0,0.7853981633974483,0,0,0,0,-1,0,1,0,0,0,0
162,0.92,9.219544457292887,0,0.21866894587394195,0,0,0,0,-1,0,1,0,0,0,1
163,0.573,6.4031242374328485,0,0.8960553845713439,0,0,0,0,-1,0,1,0,0,0,0
164,0.96,12.806248474865697,0,0.8960553845713439,0,0,0,0,-1,0,1,0,0,0,1
165,0.72,29.681644159311663,0,0.5693131911006619,0,0,0,0,-1,0,1,0,0,0,0
166,0.813,30.0,0,0.6435011087932844,0,0,0,0,-1,0,0,1,0,0,0
167,1.453,31.01612483854165,0,0.3625442372645076,0,0,0,0,-1,0,1,0,0,0,0
168,1.3730000000000002,30.08321791298265,0,0.3743336160075839,0,0,0,0,-1,0,1,0,0,0,0
169,0.12,17.11724276862369,0,0.11710874456686428,0,0,0,0,-1,0,1,0,0,0,0
170,0.16,31.240998703626612,0,0.6947382761967033,0,0,0,0,-1,0,1,0,0,0,0
171,1.05,22.803508501982762,0,0.6610431688506869,0,0,0,0,-1,0,1,0,0,0,1
172,1.0,29.0,0,0.7610127542247297,0,0,0,0,-1,0,1,0,0,0,0
173,0.82,12.083045973594572,0,0.4266274931268761,0,0,0,0,-1,0,1,0,0,0,0
174,1.32,34.132096331752024,0,0.5554937352655437,0,0,0,0,-1,0,1,0,0,0,0
175,0.5329999999999999,24.515301344262525,0,0.2053953891897674,0,0,0,0,-1,0,1,0,0,0,0
176,1.653,32.57299494980466,0,0.3120421215625333,0,0,0,0,-1,0,0,1,0,0,0
177,2.0380000000000003,6.324555320336759,1,1.2490457723982544,0,0,0,0,-1,0,0,1,0,0,0
178,1.4,35.73513677041127,0,0.3129012278803845,0,1,0,0,-1,0,0,0,0,0,0
179,3.213,23.60084744241189,0,0.6350267353903137,0,0,0,0,-1,0,1,0,0,0,0
180,2.773,27.202941017470888,0,0.9420000403794636,0,0,0,0,-1,0,0,1,0,0,0
181,0.973,24.738633753705958,0,0.2449786631268641,0,1,0,0,-1,0,0,0,0,0,0
182,1.3730000000000002,21.587033144922906,0,0.23374318086890145,0,0,0,0,-1,0,1,0,0,0,0
183,2.28,21.633307652783934,0,0.5880026035475675,0,0,0,0,-1,0,0,1,0,0,0
184,1.08,30.265491900843116,0,0.13255153229667402,0,0,0,0,-1,0,1,0,0,0,0
185,0.24,15.652475842498527,0,1.1071487177940904,0,0,0,0,-1,0,0,1,0,0,0
186,1.76,30.08321791298265,0,0.2691674927857005,0,1,0,0,-1,0,0,0,0,0,0
187,1.053,18.027756377319946,0,0.05549850524571683,0,0,0,0,-1,0,1,0,0,0,1
188,1.053,13.601470508735444,0,0.9420000403794636,0,0,0,0,-1,1,0,0,0,0,0
189,0.68,6.708203932499369,0,0.4636476090008061,0,0,0,0,-1,0,1,0,0,0,1
190,1.493,30.413812651491103,0,0.7621465405869854,0,0,0,0,-1,0,1,0,0,0,0
191,0.64,19.924858845171283,0,0.3058788714048521,0,1,0,0,-1,0,0,0,0,0,0
192,1.093,33.42154993413681,0,0.6794138054078485,0,0,0,0,-1,0,1,0,0,0,0
193,0.5329999999999999,12.16552506059644,0,0.16514867741462685,0,0,0,0,-1,0,0,1,0,0,0
194,0.52,14.0,0,0.0,0,0,0,0,-1,0,1,0,0,0,1
195,0.64,7.071067811865476,0,0.1418970546041639,0,0,0,0,-1,0,1,0,0,0,0
196,1.133,29.732137494637012,0,0.7378150601204649,0,0,0,0,-1,0,1,0,0,0,0
197,1.12,29.154759474226502,0,0.5404195002705842,0,0,0,0,-1,0,1,0,0,0,0
198,0.92,28.844410203711917,0,0.9827937232473292,0,0,0,0,-1,0,1,0,0,0,0
199,1.893,36.496575181789325,0,0.16514867741462685,0,0,0,0,-1,0,1,0,0,0,0
200,1.04,25.495097567963924,0,0.1973955598498808,0,0,0,0,-1,0,0,1,0,0,0
201,0.693,12.727922061357855,0,0.7853981633974483,0,0,0,1,-1,0,0,0,0,0,0
202,1.8530000000000002,19.924858845171283,0,0.3058788714048521,0,1,0,0,-1,0,0,0,0,0,0
203,1.0,25.0,0,0.2837941092083279,0,0,0,0,-1,0,1,0,0,0,0
204,0.52,12.0,0,0.0,0,0,0,0,-1,0,0,1,0,0,0
205,0.627,7.0,1,0.0,0,0,0,0,-1,0,1,0,0,1,1
206,0.33299999999999996,27.313000567495326,0,0.414506874584786,0,0,0,0,-1,0,1,0,0,0,0
207,1.2,39.204591567825325,0,0.10220671810725353,0,0,0,0,-1,0,1,0,0,0,0
208,0.28,28.0,0,0.0,0,0,0,0,-1,0,1,0,0,0,0
209,0.84,29.8328677803526,0,0.23684876094692026,0,0,0,0,-1,0,1,0,0,0,0
210,0.787,16.278820596099706,0,0.7419472680059175,0,0,0,0,-1,0,0,1,0,0,0
211,0.573,24.75883680627989,0,0.7568345055586883,0,0,0,0,-1,0,1,0,0,0,0
212,0.613,6.4031242374328485,0,0.8960553845713439,0,0,0,0,-1,0,1,0,0,0,0
213,0.45299999999999996,32.062439083762804,0,0.06241880999595735,0,0,0,0,-1,0,1,0,0,0,0
214,0.32,32.14031735997639,0,0.09347678115858947,0,0,0,0,-1,0,1,0,0,0,0
215,0.33299999999999996,35.0,0,0.6435011087932844,0,0,0,0,-1,0,1,0,0,0,0
216,0.96,31.11269837220809,0,0.7853981633974483,0,0,0,0,-1,0,1,0,0,0,0
217,0.12,19.209372712298546,0,0.6747409422235527,0,0,0,0,-1,0,1,0,0,0,0
218,1.16,29.068883707497267,0,0.7123575980943291,0,0,0,0,-1,0,1,0,0,0,0
219,0.44,10.198039027185569,0,0.1973955598498808,0,0,0,0,-1,0,0,1,0,0,0
220,0.6,22.62741699796952,0,0.7853981633974483,0,1,0,0,-1,0,0,0,0,0,0
221,1.8530000000000002,27.29468812791236,0,0.4964227534048818,0,0,0,0,-1,0,1,0,0,0,0
222,1.013,15.264337522473747,0,0.5516549825285469,0,0,0,0,-1,0,1,0,0,0,0
223,0.6,14.31782106327635,0,0.21109333322274654,0,0,0,0,-1,0,1,0,0,0,1
224,0.84,27.784887978899608,0,0.5280744484263596,0,0,0,0,-1,0,1,0,0,0,0
225,0.9329999999999999,7.071067811865476,0,0.1418970546041639,0,0,0,0,-1,0,1,0,0,0,1
226,0.9329999999999999,16.643316977093242,0,0.99945884696127,0,0,0,0,-1,0,1,0,0,0,0
227,0.253,16.1245154965971,0,1.4464413322481349,0,0,0,0,-1,0,1,0,0,0,0
228,0.48,12.727922061357855,0,0.7853981633974483,0,0,0,0,-1,0,1,0,0,0,0
229,0.36,19.849433241279208,0,0.8567056281827385,0,0,0,0,-1,0,1,0,0,0,0
230,1.24,33.286633954186485,0,0.5713374798336268,0,0,0,0,-1,0,1,0,0,0,0
231,0.44,35.0,0,0.6435011087932844,0,0,0,0,-1,0,1,0,0,0,0
232,0.4,30.265491900843116,0,0.13255153229667402,0,0,0,0,-1,0,1,0,0,0,0
233,0.133,34.66987164671943,0,0.5800027742076809,0,0,0,0,-1,0,1,0,0,0,0
234,0.64,24.041630560342607,0,0.29544083714372,0,1,0,0,-1,0,0,0,0,0,0
235,0.48,14.866068747318506,0,1.2277723863741932,0,0,0,0,-1,0,1,0,0,0,0
236,0.613,8.06225774829855,0,0.12435499454676145,0,0,0,0,-1,0,1,0,0,0,0
237,0.613,12.16552506059644,0,0.16514867741462685,0,1,0,0,-1,0,0,0,0,0,0
238,0.56,22.47220505424423,0,1.0074800653029286,0,0,0,0,-1,0,1,0,0,0,0
239,1.21,24.08318915758459,0,0.7266423406817256,0,0,0,0,-1,0,1,0,0,0,0
240,1.2,19.6468827043885,0,0.25732371497108864,0,0,0,0,-1,0,1,0,0,0,0
241,1.2930000000000001,27.018512172212592,0,0.037020115873930025,0,1,0,0,-1,0,0,0,0,0,0
242,0.573,6.0827625302982185,0,0.16514867741462685,0,0,0,0,-1,0,1,0,0,0,0
243,0.853,21.633307652783934,0,0.9827937232473292,0,0,0,0,-1,0,1,0,0,0,0
244,0.107,15.652475842498527,0,1.1071487177940904,0,0,0,0,-1,0,1,0,0,0,0
