duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.72,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,29.68164415931166,0.5693131911006619,10.76,1,100.0,0,10.0,True,True,False
0.813,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Half Volley,0,0,30.0,0.6435011087932844,24.347,1,96.0,0,8.54400374531753,True,True,False
1.453,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,foot,0,0,0,Normal,0,0,31.016124838541646,0.3625442372645076,11.16,0,116.0,1,8.94427190999916,True,True,False
1.373,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,30.083217912982647,0.3743336160075839,9.627,0,112.0,1,12.649110640673518,True,True,False
0.12,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,17.11724276862369,0.11710874456686428,3.2,1,68.0,0,7.615773105863909,True,True,False
0.16,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,31.240998703626616,0.6947382761967033,12.52,1,96.0,0,7.0710678118654755,True,True,False
1.05,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,1,22.80350850198276,0.6610431688506869,1.8699999999999999,0,72.0,0,6.708203932499369,True,True,False
1.0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,29.0,0.7610127542247297,15.600000000000001,1,84.0,1,9.219544457292887,True,True,False
0.82,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,1,0,0,Normal,0,0,12.083045973594572,0.4266274931268761,44.82,0,44.0,0,4.47213595499958,True,True,False
0.693,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Normal,0,1,8.94427190999916,0.4636476090008061,3.4,0,32.0,0,3.1622776601683795,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,24.20743687382041,0.668289418830584,16.534,1,76.0,0,4.242640687119285,True,True,False
0.16,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,24.186773244895647,0.12435499454676144,24.573,0,96.0,0,8.06225774829855,True,True,False
0.293,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,1,0,0,Volley,0,0,10.816653826391969,0.5880026035475675,0.9470000000000001,0,36.0,0,7.0710678118654755,True,True,False
0.253,0,0.0,,0,0,0,,0.0,0,0,From Keeper,0,foot,0,0,0,Normal,0,0,25.079872407968907,0.41012734054149097,9.36,0,92.0,0,12.0,True,True,False
0.52,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,13.0,1.176005207095135,-0.52,0,20.0,0,5.830951894845301,True,True,False
0.373,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,1,0,0,Normal,0,0,22.80350850198276,0.6610431688506869,12.467,0,72.0,0,4.123105625617661,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Normal,0,0,26.40075756488817,0.4297622790966885,23.96,0,96.0,2,10.295630140987,True,True,False
0.213,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Normal,0,0,24.166091947189145,0.4266274931268761,1.76,0,88.0,2,13.601470508735444,True,True,False
1.373,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,25.079872407968907,0.41012734054149097,36.959,0,92.0,0,5.830951894845301,True,True,False
1.173,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,32.0,0.0,15.814000000000002,0,128.0,2,3.605551275463989,True,True,False
1.15,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Half Volley,0,0,22.360679774997898,0.4636476090008061,28.41,0,80.0,1,8.94427190999916,True,True,False
0.667,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Volley,0,0,25.495097567963924,0.19739555984988078,-0.42700000000000005,0,100.0,1,7.615773105863909,True,True,False
1.08,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,28.0,0.0,56.373000000000005,1,112.0,1,4.47213595499958,True,True,False
0.28,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Volley,0,0,14.317821063276353,1.1383885512243588,20.919999999999998,0,24.0,1,7.0,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,From Kick Off,0,foot,1,0,0,Normal,0,0,25.0,0.28379410920832787,11.16,0,96.0,0,6.4031242374328485,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,foot,0,0,0,Normal,0,0,24.20743687382041,0.668289418830584,-0.32,0,76.0,0,6.4031242374328485,True,True,False
1.373,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,18.867962264113206,0.5585993153435624,9.947000000000001,0,64.0,0,7.810249675906654,True,True,False
0.773,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,31.0,0.0,1.0539999999999998,1,124.0,1,6.324555320336759,True,True,False
